,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,4236,0,0,0,0,0,0,15,0,4251
Herbaceous crops,0,1434,0,0,0,0,0,0,0,1434
In land water Bodies,0,0,1868,0,0,0,27,47,0,1942
Multiple or Layered crop,0,0,0,3034,0,0,0,0,0,3034
Shrub cover areas,0,0,0,0,23632,0,0,0,0,23632
Shrubs and or herbaceous areas,0,0,0,0,0,2,0,0,0,2
Sparsely natural vegetated areas,0,0,0,0,0,0,1454,6,0,1460
Terrestrial barren land,0,0,0,0,0,0,0,3468,0,3468
Tree cover areas,0,0,0,0,0,0,0,0,20,20
Sum,4236,1434,1868,3034,23632,2,1481,3536,20,39243
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,4132,0,0,1,0,0,52,51,0,4236
Herbaceous crops,2,1432,0,0,0,0,0,0,0,1434
In land water Bodies,86,0,1128,0,0,0,86,568,0,1868
Multiple or Layered crop,0,0,0,3034,0,0,0,0,0,3034
Shrub cover areas,0,0,0,0,23632,0,0,0,0,23632
Shrubs and or herbaceous areas,0,0,0,0,0,2,0,0,0,2
Sparsely natural vegetated areas,0,0,0,0,0,0,1446,40,0,1486
Terrestrial barren land,139,0,0,0,0,0,0,3543,0,3682
Tree cover areas,0,0,0,0,0,0,0,0,20,20
Sum,4359,1432,1128,3035,23632,2,1584,4202,20,39394
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,4333,0,0,2,0,0,15,9,0,4359
Herbaceous crops,0,1430,0,0,0,0,0,0,0,1430
In land water Bodies,0,0,1128,0,0,0,0,0,0,1128
Multiple or Layered crop,1,0,0,3026,8,0,0,0,0,3035
Shrub cover areas,0,0,0,0,23632,0,0,0,0,23632
Shrubs and or herbaceous areas,0,0,0,0,0,2,0,0,0,2
Sparsely natural vegetated areas,0,0,0,0,0,0,1686,0,0,1686
Terrestrial barren land,28,0,0,0,0,0,0,4357,0,4385
Tree cover areas,0,0,0,0,0,0,0,0,20,20
Sum,4362,1430,1128,3028,23640,2,1701,4366,20,39677
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,4330,0,0,1,0,0,8,23,0,4362
Herbaceous crops,0,1430,0,0,0,0,0,0,0,1430
In land water Bodies,0,0,1128,0,0,0,0,0,0,1128
Multiple or Layered crop,1,0,0,3028,0,0,0,0,0,3029
Shrub cover areas,0,0,0,1,23639,0,0,0,0,23640
Shrubs and or herbaceous areas,0,0,0,0,0,2,0,0,0,2
Sparsely natural vegetated areas,3,0,0,0,0,0,1713,0,0,1716
Terrestrial barren land,11,0,0,0,0,0,26,4341,0,4378
Tree cover areas,0,0,0,0,0,0,0,0,20,20
Sum,4345,1430,1128,3030,23639,2,1747,4364,20,39705
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,4337,0,0,0,0,0,0,8,0,4345
Herbaceous crops,0,1430,0,0,0,0,0,0,0,1430
In land water Bodies,0,0,1128,0,0,0,0,0,0,1128
Multiple or Layered crop,0,0,0,3030,0,0,0,0,0,3030
Shrub cover areas,0,0,0,0,23639,0,0,0,0,23639
Shrubs and or herbaceous areas,0,0,0,0,0,2,0,0,0,2
Sparsely natural vegetated areas,18,0,0,0,0,0,1759,0,0,1777
Terrestrial barren land,12,0,0,1,0,0,49,4336,0,4398
Tree cover areas,0,0,0,0,0,0,0,0,20,20
Sum,4367,1430,1128,3031,23639,2,1808,4344,20,39769
